;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_QIC_title;Grant Qi Independence;;;;;;;;;;;;x,,
gtfo_QIC_desc;We've had a good run, but it's time to end our rulership of Qi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QIN_title;Grant Qin Independence;;;;;;;;;;;;x,,
gtfo_QIN_desc;We've had a good run, but it's time to end our rulership of Qin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QOM_title;Grant Ajam Independence;;;;;;;;;;;;x,,
gtfo_QOM_desc;We've had a good run, but it's time to end our rulership of Ajam: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QTO_title;Grant Quito Independence;;;;;;;;;;;;x,,
gtfo_QTO_desc;We've had a good run, but it's time to end our rulership of Quito: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QUI_title;Grant Quizquiz Independence;;;;;;;;;;;;x,,
gtfo_QUI_desc;We've had a good run, but it's time to end our rulership of Quizquiz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RAG_title;Grant Ragusa Independence;;;;;;;;;;;;x,,
gtfo_RAG_desc;We've had a good run, but it's time to end our rulership of Ragusa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RAM_title;Grant Ramazan Independence;;;;;;;;;;;;x,,
gtfo_RAM_desc;We've had a good run, but it's time to end our rulership of Ramazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RAS_title;Grant Rassids Independence;;;;;;;;;;;;x,,
gtfo_RAS_desc;We've had a good run, but it's time to end our rulership of Rassids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RDL_title;Grant Ardalan Independence;;;;;;;;;;;;x,,
gtfo_RDL_desc;We've had a good run, but it's time to end our rulership of Ardalan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_REG_title;Grant Regensburg Independence;;;;;;;;;;;;x,,
gtfo_REG_desc;We've had a good run, but it's time to end our rulership of Regensburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RHD_title;Grant Rhade Independence;;;;;;;;;;;;x,,
gtfo_RHD_desc;We've had a good run, but it's time to end our rulership of Rhade: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RIG_title;Grant Riga Independence;;;;;;;;;;;;x,,
gtfo_RIG_desc;We've had a good run, but it's time to end our rulership of Riga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RJK_title;Grant Rajkot Independence;;;;;;;;;;;;x,,
gtfo_RJK_desc;We've had a good run, but it's time to end our rulership of Rajkot: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RJP_title;Grant Dhundhar Independence;;;;;;;;;;;;x,,
gtfo_RJP_desc;We've had a good run, but it's time to end our rulership of Dhundhar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RMP_title;Grant Rohilkhand Independence;;;;;;;;;;;;x,,
gtfo_RMP_desc;We've had a good run, but it's time to end our rulership of Rohilkhand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ROT_title;Grant Rothenburg Independence;;;;;;;;;;;;x,,
gtfo_ROT_desc;We've had a good run, but it's time to end our rulership of Rothenburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RTT_title;Grant Ratanpur Independence;;;;;;;;;;;;x,,
gtfo_RTT_desc;We've had a good run, but it's time to end our rulership of Ratanpur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUP_title;Grant Ruppin Independence;;;;;;;;;;;;x,,
gtfo_RUP_desc;We've had a good run, but it's time to end our rulership of Ruppin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RVA_title;Grant Dortmund Independence;;;;;;;;;;;;x,,
gtfo_RVA_desc;We've had a good run, but it's time to end our rulership of Dortmund: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RWA_title;Grant Rwanda Independence;;;;;;;;;;;;x,,
gtfo_RWA_desc;We've had a good run, but it's time to end our rulership of Rwanda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RYA_title;Grant Ryazan Independence;;;;;;;;;;;;x,,
gtfo_RYA_desc;We've had a good run, but it's time to end our rulership of Ryazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RYU_title;Grant Ryukyu Independence;;;;;;;;;;;;x,,
gtfo_RYU_desc;We've had a good run, but it's time to end our rulership of Ryukyu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RZW_title;Grant Butua Independence;;;;;;;;;;;;x,,
gtfo_RZW_desc;We've had a good run, but it's time to end our rulership of Butua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAK_title;Grant Siak Independence;;;;;;;;;;;;x,,
gtfo_SAK_desc;We've had a good run, but it's time to end our rulership of Siak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAL_title;Grant Salish Independence;;;;;;;;;;;;x,,
gtfo_SAL_desc;We've had a good run, but it's time to end our rulership of Salish: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAX_title;Grant Saxony Independence;;;;;;;;;;;;x,,
gtfo_SAX_desc;We've had a good run, but it's time to end our rulership of Saxony: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SBP_title;Grant Sambalpur Independence;;;;;;;;;;;;x,,
gtfo_SBP_desc;We've had a good run, but it's time to end our rulership of Sambalpur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCO_title;Grant Scotland Independence;;;;;;;;;;;;x,,
gtfo_SCO_desc;We've had a good run, but it's time to end our rulership of Scotland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SDY_title;Grant Sadiya Independence;;;;;;;;;;;;x,,
gtfo_SDY_desc;We've had a good run, but it's time to end our rulership of Sadiya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SER_title;Grant Serbia Independence;;;;;;;;;;;;x,,
gtfo_SER_desc;We've had a good run, but it's time to end our rulership of Serbia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGH_title;Grant Songhai Independence;;;;;;;;;;;;x,,
gtfo_SGH_desc;We've had a good run, but it's time to end our rulership of Songhai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SGU_title;Grant Segu Independence;;;;;;;;;;;;x,,
gtfo_SGU_desc;We've had a good run, but it's time to end our rulership of Segu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHS_title;Grant Shoshone Independence;;;;;;;;;;;;x,,
gtfo_SHS_desc;We've had a good run, but it's time to end our rulership of Shoshone: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHU_title;Grant Shu Independence;;;;;;;;;;;;x,,
gtfo_SHU_desc;We've had a good run, but it's time to end our rulership of Shu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHY_title;Grant Uzbek Independence;;;;;;;;;;;;x,,
gtfo_SHY_desc;We've had a good run, but it's time to end our rulership of Uzbek: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIA_title;Grant Ayutthaya Independence;;;;;;;;;;;;x,,
gtfo_SIA_desc;We've had a good run, but it's time to end our rulership of Ayutthaya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIB_title;Grant Sibir Independence;;;;;;;;;;;;x,,
gtfo_SIB_desc;We've had a good run, but it's time to end our rulership of Sibir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIE_title;Grant Transylvania Independence;;;;;;;;;;;;x,,
gtfo_SIE_desc;We've had a good run, but it's time to end our rulership of Transylvania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIK_title;Grant Sikkim Independence;;;;;;;;;;;;x,,
gtfo_SIK_desc;We've had a good run, but it's time to end our rulership of Sikkim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIN_title;Grant Sindh Independence;;;;;;;;;;;;x,,
gtfo_SIN_desc;We've had a good run, but it's time to end our rulership of Sindh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIO_title;Grant Sioux Independence;;;;;;;;;;;;x,,
gtfo_SIO_desc;We've had a good run, but it's time to end our rulership of Sioux: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SKA_title;Grant Sakalava Independence;;;;;;;;;;;;x,,
gtfo_SKA_desc;We've had a good run, but it's time to end our rulership of Sakalava: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLN_title;Grant Sligo Independence;;;;;;;;;;;;x,,
gtfo_SLN_desc;We've had a good run, but it's time to end our rulership of Sligo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLO_title;Grant Cilli Independence;;;;;;;;;;;;x,,
gtfo_SLO_desc;We've had a good run, but it's time to end our rulership of Cilli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLV_title;Grant Nitra Independence;;;;;;;;;;;;x,,
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Nitra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLZ_title;Grant Salzburg Independence;;;;;;;;;;;;x,,
gtfo_SLZ_desc;We've had a good run, but it's time to end our rulership of Salzburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMB_title;Grant Sambas Independence;;;;;;;;;;;;x,,
gtfo_SMB_desc;We've had a good run, but it's time to end our rulership of Sambas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SME_title;Grant Samtskhe Independence;;;;;;;;;;;;x,,
gtfo_SME_desc;We've had a good run, but it's time to end our rulership of Samtskhe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMK_title;Grant Smolensk Independence;;;;;;;;;;;;x,,
gtfo_SMK_desc;We've had a good run, but it's time to end our rulership of Smolensk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMO_title;Grant Samoa Independence;;;;;;;;;;;;x,,
gtfo_SMO_desc;We've had a good run, but it's time to end our rulership of Samoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNA_title;Grant Siena Independence;;;;;;;;;;;;x,,
gtfo_SNA_desc;We've had a good run, but it's time to end our rulership of Siena: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNC_title;Grant Seneca Independence;;;;;;;;;;;;x,,
gtfo_SNC_desc;We've had a good run, but it's time to end our rulership of Seneca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNZ_title;Grant Waitaha Independence;;;;;;;;;;;;x,,
gtfo_SNZ_desc;We've had a good run, but it's time to end our rulership of Waitaha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOF_title;Grant Sofala Independence;;;;;;;;;;;;x,,
gtfo_SOF_desc;We've had a good run, but it's time to end our rulership of Sofala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOL_title;Grant Solon Independence;;;;;;;;;;;;x,,
gtfo_SOL_desc;We've had a good run, but it's time to end our rulership of Solon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOS_title;Grant Sus Independence;;;;;;;;;;;;x,,
gtfo_SOS_desc;We've had a good run, but it's time to end our rulership of Sus: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRD_title;Grant Sardinia Independence;;;;;;;;;;;;x,,
gtfo_SRD_desc;We've had a good run, but it's time to end our rulership of Sardinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRG_title;Grant Surguja Independence;;;;;;;;;;;;x,,
gtfo_SRG_desc;We've had a good run, but it's time to end our rulership of Surguja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRH_title;Grant Sirhind Independence;;;;;;;;;;;;x,,
gtfo_SRH_desc;We've had a good run, but it's time to end our rulership of Sirhind: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRI_title;Grant Kotte Independence;;;;;;;;;;;;x,,
gtfo_SRI_desc;We've had a good run, but it's time to end our rulership of Kotte: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRM_title;Grant Sirmur Independence;;;;;;;;;;;;x,,
gtfo_SRM_desc;We've had a good run, but it's time to end our rulership of Sirmur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRN_title;Grant Soran Independence;;;;;;;;;;;;x,,
gtfo_SRN_desc;We've had a good run, but it's time to end our rulership of Soran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRU_title;Grant Saruhan Independence;;;;;;;;;;;;x,,
gtfo_SRU_desc;We've had a good run, but it's time to end our rulership of Saruhan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRV_title;Grant Shirvan Independence;;;;;;;;;;;;x,,
gtfo_SRV_desc;We've had a good run, but it's time to end our rulership of Shirvan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_STA_title;Grant Stadacona Independence;;;;;;;;;;;;x,,
gtfo_STA_desc;We've had a good run, but it's time to end our rulership of Stadacona: if you love something, let it go!;;;;;;;;;;;;x
gtfo_STP_title;Grant Satapo Independence;;;;;;;;;;;;x,,
gtfo_STP_desc;We've had a good run, but it's time to end our rulership of Satapo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_STY_title;Grant Styria Independence;;;;;;;;;;;;x,,
gtfo_STY_desc;We've had a good run, but it's time to end our rulership of Styria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUK_title;Grant Sukhothai Independence;;;;;;;;;;;;x,,
gtfo_SUK_desc;We've had a good run, but it's time to end our rulership of Sukhothai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUL_title;Grant Sulu Independence;;;;;;;;;;;;x,,
gtfo_SUL_desc;We've had a good run, but it's time to end our rulership of Sulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUN_title;Grant Sunda Independence;;;;;;;;;;;;x,,
gtfo_SUN_desc;We've had a good run, but it's time to end our rulership of Sunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUS_title;Grant Susquehannock Independence;;;;;;;;;;;;x,,
gtfo_SUS_desc;We've had a good run, but it's time to end our rulership of Susquehannock: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SVY_title;Grant Savoy Independence;;;;;;;;;;;;x,,
gtfo_SVY_desc;We've had a good run, but it's time to end our rulership of Savoy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWA_title;Grant Kilwa Independence;;;;;;;;;;;;x,,
gtfo_SWA_desc;We've had a good run, but it's time to end our rulership of Kilwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWE_title;Grant Sweden Independence;;;;;;;;;;;;x,,
gtfo_SWE_desc;We've had a good run, but it's time to end our rulership of Sweden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWI_title;Grant Switzerland Independence;;;;;;;;;;;;x,,
gtfo_SWI_desc;We've had a good run, but it's time to end our rulership of Switzerland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYC_title;Grant Sicily Independence;;;;;;;;;;;;x,,
gtfo_SYC_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYG_title;Grant Sarig Yogir Independence;;;;;;;;;;;;x,,
gtfo_SYG_desc;We've had a good run, but it's time to end our rulership of Sarig Yogir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYO_title;Grant Soyo Independence;;;;;;;;;;;;x,,
gtfo_SYO_desc;We've had a good run, but it's time to end our rulership of Soyo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYR_title;Grant Syria Independence;;;;;;;;;;;;x,,
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAB_title;Grant Mazandaran Independence;;;;;;;;;;;;x,,
gtfo_TAB_desc;We've had a good run, but it's time to end our rulership of Mazandaran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TBK_title;Grant Tumbuka Independence;;;;;;;;;;;;x,,
gtfo_TBK_desc;We've had a good run, but it's time to end our rulership of Tumbuka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TDO_title;Grant Tondo Independence;;;;;;;;;;;;x,,
gtfo_TDO_desc;We've had a good run, but it's time to end our rulership of Tondo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TEN_title;Grant Tenkodogo Independence;;;;;;;;;;;;x,,
gtfo_TEN_desc;We've had a good run, but it's time to end our rulership of Tenkodogo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TEO_title;Grant Teotitlan Independence;;;;;;;;;;;;x,,
gtfo_TEO_desc;We've had a good run, but it's time to end our rulership of Teotitlan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TER_title;Grant Trier Independence;;;;;;;;;;;;x,,
gtfo_TER_desc;We've had a good run, but it's time to end our rulership of Trier: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TET_title;Grant Tétouan Independence;;;;;;;;;;;;x,,
gtfo_TET_desc;We've had a good run, but it's time to end our rulership of Tétouan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TEU_title;Grant Teutonic Order Independence;;;;;;;;;;;;x,,
gtfo_TEU_desc;We've had a good run, but it's time to end our rulership of Teutonic Order: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TFL_title;Grant Tafilalt Independence;;;;;;;;;;;;x,,
gtfo_TFL_desc;We've had a good run, but it's time to end our rulership of Tafilalt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TGA_title;Grant Tonga Independence;;;;;;;;;;;;x,,
gtfo_TGA_desc;We've had a good run, but it's time to end our rulership of Tonga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TGT_title;Grant Touggourt Independence;;;;;;;;;;;;x,,
gtfo_TGT_desc;We've had a good run, but it's time to end our rulership of Touggourt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_THN_title;Grant Tahontaenrat Independence;;;;;;;;;;;;x,,
gtfo_THN_desc;We've had a good run, but it's time to end our rulership of Tahontaenrat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_THU_title;Grant Thuringia Independence;;;;;;;;;;;;x,,
gtfo_THU_desc;We've had a good run, but it's time to end our rulership of Thuringia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TID_title;Grant Tidore Independence;;;;;;;;;;;;x,,
gtfo_TID_desc;We've had a good run, but it's time to end our rulership of Tidore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIM_title;Grant Timurids Independence;;;;;;;;;;;;x,,
gtfo_TIM_desc;We've had a good run, but it's time to end our rulership of Timurids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIO_title;Grant Tionontate Independence;;;;;;;;;;;;x,,
gtfo_TIO_desc;We've had a good run, but it's time to end our rulership of Tionontate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIR_title;Grant Tirol Independence;;;;;;;;;;;;x,,
gtfo_TIR_desc;We've had a good run, but it's time to end our rulership of Tirol: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIW_title;Grant Tiwi Independence;;;;;;;;;;;;x,,
gtfo_TIW_desc;We've had a good run, but it's time to end our rulership of Tiwi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLA_title;Grant Tlapanec Independence;;;;;;;;;;;;x,,
gtfo_TLA_desc;We've had a good run, but it's time to end our rulership of Tlapanec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLC_title;Grant Tlemcen Independence;;;;;;;;;;;;x,,
gtfo_TLC_desc;We've had a good run, but it's time to end our rulership of Tlemcen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLG_title;Grant Telingana Independence;;;;;;;;;;;;x,,
gtfo_TLG_desc;We've had a good run, but it's time to end our rulership of Telingana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TLX_title;Grant Tlaxcala Independence;;;;;;;;;;;;x,,
gtfo_TLX_desc;We've had a good run, but it's time to end our rulership of Tlaxcala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TMB_title;Grant Timbuktu Independence;;;;;;;;;;;;x,,
gtfo_TMB_desc;We've had a good run, but it's time to end our rulership of Timbuktu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TNG_title;Grant Tang Independence;;;;;;;;;;;;x,,
gtfo_TNG_desc;We've had a good run, but it's time to end our rulership of Tang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TNJ_title;Grant Tanjore Independence;;;;;;;;;;;;x,,
gtfo_TNJ_desc;We've had a good run, but it's time to end our rulership of Tanjore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TOK_title;Grant Tonkin Independence;;;;;;;;;;;;x,,
gtfo_TOK_desc;We've had a good run, but it's time to end our rulership of Tonkin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TON_title;Grant Tonala Independence;;;;;;;;;;;;x,,
gtfo_TON_desc;We've had a good run, but it's time to end our rulership of Tonala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TOT_title;Grant Totonac Independence;;;;;;;;;;;;x,,
gtfo_TOT_desc;We've had a good run, but it's time to end our rulership of Totonac: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TPA_title;Grant Tupinamba Independence;;;;;;;;;;;;x,,
gtfo_TPA_desc;We've had a good run, but it's time to end our rulership of Tupinamba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TPQ_title;Grant Tupiniquim Independence;;;;;;;;;;;;x,,
gtfo_TPQ_desc;We've had a good run, but it's time to end our rulership of Tupiniquim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TPR_title;Grant Tripura Independence;;;;;;;;;;;;x,,
gtfo_TPR_desc;We've had a good run, but it's time to end our rulership of Tripura: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRA_title;Grant Venad Independence;;;;;;;;;;;;x,,
gtfo_TRA_desc;We've had a good run, but it's time to end our rulership of Venad: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRI_title;Grant Tripoli Independence;;;;;;;;;;;;x,,
gtfo_TRI_desc;We've had a good run, but it's time to end our rulership of Tripoli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRO_title;Grant Tairona Independence;;;;;;;;;;;;x,,
gtfo_TRO_desc;We've had a good run, but it's time to end our rulership of Tairona: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRS_title;Grant Tarascan Independence;;;;;;;;;;;;x,,
gtfo_TRS_desc;We've had a good run, but it's time to end our rulership of Tarascan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRT_title;Grant Tirhut Independence;;;;;;;;;;;;x,,
gtfo_TRT_desc;We've had a good run, but it's time to end our rulership of Tirhut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRX_title;Grant Transoxiana Independence;;;;;;;;;;;;x,,
gtfo_TRX_desc;We've had a good run, but it's time to end our rulership of Transoxiana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRY_title;Grant Tyrconnell Independence;;;;;;;;;;;;x,,
gtfo_TRY_desc;We've had a good run, but it's time to end our rulership of Tyrconnell: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TSC_title;Grant Tuscarora Independence;;;;;;;;;;;;x,,
gtfo_TSC_desc;We've had a good run, but it's time to end our rulership of Tuscarora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TTE_title;Grant Ternate Independence;;;;;;;;;;;;x,,
gtfo_TTE_desc;We've had a good run, but it's time to end our rulership of Ternate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TTL_title;Grant Three Leagues Independence;;;;;;;;;;;;x,,
gtfo_TTL_desc;We've had a good run, but it's time to end our rulership of Three Leagues: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUA_title;Grant Tapuia Independence;;;;;;;;;;;;x,,
gtfo_TUA_desc;We've had a good run, but it's time to end our rulership of Tapuia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUL_title;Grant Toulouse Independence;;;;;;;;;;;;x,,
gtfo_TUL_desc;We've had a good run, but it's time to end our rulership of Toulouse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUN_title;Grant Tunis Independence;;;;;;;;;;;;x,,
gtfo_TUN_desc;We've had a good run, but it's time to end our rulership of Tunis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUR_title;Grant Ottomans Independence;;;;;;;;;;;;x,,
gtfo_TUR_desc;We've had a good run, but it's time to end our rulership of Ottomans: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TYO_title;Grant Tyo Independence;;;;;;;;;;;;x,,
gtfo_TYO_desc;We've had a good run, but it's time to end our rulership of Tyo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TYR_title;Grant Tyrone Independence;;;;;;;;;;;;x,,
gtfo_TYR_desc;We've had a good run, but it's time to end our rulership of Tyrone: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UBH_title;Grant Buha Independence;;;;;;;;;;;;x,,
gtfo_UBH_desc;We've had a good run, but it's time to end our rulership of Buha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UBV_title;Grant Munich Independence;;;;;;;;;;;;x,,
gtfo_UBV_desc;We've had a good run, but it's time to end our rulership of Munich: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ULM_title;Grant Ulm Independence;;;;;;;;;;;;x,,
gtfo_ULM_desc;We've had a good run, but it's time to end our rulership of Ulm: if you love something, let it go!;;;;;;;;;;;;x
gtfo_URB_title;Grant Urbino Independence;;;;;;;;;;;;x,,
gtfo_URB_desc;We've had a good run, but it's time to end our rulership of Urbino: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UTR_title;Grant Utrecht Independence;;;;;;;;;;;;x,,
gtfo_UTR_desc;We've had a good run, but it's time to end our rulership of Utrecht: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UTS_title;Grant Tsang Independence;;;;;;;;;;;;x,,
gtfo_UTS_desc;We've had a good run, but it's time to end our rulership of Tsang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VEN_title;Grant Venice Independence;;;;;;;;;;;;x,,
gtfo_VEN_desc;We've had a good run, but it's time to end our rulership of Venice: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VER_title;Grant Verden Independence;;;;;;;;;;;;x,,
gtfo_VER_desc;We've had a good run, but it's time to end our rulership of Verden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VIJ_title;Grant Vijayanagar Independence;;;;;;;;;;;;x,,
gtfo_VIJ_desc;We've had a good run, but it's time to end our rulership of Vijayanagar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VOL_title;Grant Galicia–Volhynia Independence;;;;;;;;;;;;x,,
gtfo_VOL_desc;We've had a good run, but it's time to end our rulership of Galicia–Volhynia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAD_title;Grant Wadai Independence;;;;;;;;;;;;x,,
gtfo_WAD_desc;We've had a good run, but it's time to end our rulership of Wadai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAL_title;Grant Wallachia Independence;;;;;;;;;;;;x,,
gtfo_WAL_desc;We've had a good run, but it's time to end our rulership of Wallachia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAM_title;Grant Wampanoag Independence;;;;;;;;;;;;x,,
gtfo_WAM_desc;We've had a good run, but it's time to end our rulership of Wampanoag: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WBG_title;Grant Wurzburg Independence;;;;;;;;;;;;x,,
gtfo_WBG_desc;We've had a good run, but it's time to end our rulership of Wurzburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WCR_title;Grant Cree Independence;;;;;;;;;;;;x,,
gtfo_WCR_desc;We've had a good run, but it's time to end our rulership of Cree: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WCY_title;Grant Wichiyena Independence;;;;;;;;;;;;x,,
gtfo_WCY_desc;We've had a good run, but it's time to end our rulership of Wichiyena: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WHA_title;Grant Wales Independence;;;;;;;;;;;;x,,
gtfo_WHA_desc;We've had a good run, but it's time to end our rulership of Wales: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WIA_title;Grant Vientiane Independence;;;;;;;;;;;;x,,
gtfo_WIA_desc;We've had a good run, but it's time to end our rulership of Vientiane: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WIC_title;Grant Wichita Independence;;;;;;;;;;;;x,,
gtfo_WIC_desc;We've had a good run, but it's time to end our rulership of Wichita: if you love something, let it go!;;;;;;;;;;;;x
